Loop,Other_ScanCount,Partition_CustomerData_SpaceUsedInBytes,Partition_Extensibility_SpaceUsedInBytes,JediMem_PdlPersonality_HighWater,JediMem_Extensibility_BytesAvailable,JediMem_Extensibility_BytesConsumed,JediMem_Extensibility_HighWater,JediMem_JavaScriptAligned_BytesAvailable,JediMem_JavaScriptAligned_BytesConsumed,JediMem_JavaScriptAligned_HighWater,JediMem_OpenSourceLib_BytesAvailable,JediMem_OpenSourceLib_BytesConsumed,JediMem_OpenSourceLib_HighWater,JediMem_WebkitSmall_BytesAvailable,JediMem_WebkitSmall_BytesConsumed,JediMem_WebkitSmall_HighWater,JediMem_WebkitLarge_BytesAvailable,JediMem_WebkitLarge_BytesConsumed,JediMem_WebkitLarge_HighWater,JediMem_NonJediManaged_BytesConsumed,JediMem_NonJediManaged_HighWater,Other_BootCycleCounter,UI_Total_Memory_Statistics_Limit,UI_Total_Memory_Statistics_Consumed,UI_Total_Memory_Statistics_High_Water,Web_Process_Memory_Statistics_Limit,Web_Process_Memory_Statistics_Consumed,Web_Process_Memory_Statistics_High_Water,Browser_Process_Memory_Mappings_sizeTotal,Browser_Process_Memory_Mappings_privateTotal,Browser_Process_Memory_Mappings_sharedTotal,Browser_Process_Memory_Mappings_anonymousTotal,Web_Process_Memory_Mappings_sizeTotal,Web_Process_Memory_Mappings_privateTotal,Web_Process_Memory_Mappings_sharedTotal,Web_Process_Memory_Mappings_anonymousTotal,Network_Process_Memory_Mappings_sizeTotal,Network_Process_Memory_Mappings_privateTotal,Network_Process_Memory_Mappings_sharedTotal,Network_Process_Memory_Mappings_anonymousTotal
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,636490812,636490812,158,352321536,133353472,135008256,274726912,89399296,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,636961852,636961852,158,352321536,133844992,135008256,274726912,89649152,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,637056060,637056060,158,352321536,133345280,136359936,274726912,89317376,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,637092924,637092924,158,352321536,133386240,136359936,274726912,89350144,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,637121596,637121596,158,352321536,133148672,136359936,274726912,89247744,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,637961276,637961276,158,352321536,133959680,136359936,274726912,90038272,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,638108732,638108732,158,352321536,134119424,136359936,274726912,90157056,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,638616636,638616636,158,352321536,134651904,136359936,274726912,90681344,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,639067196,639067196,158,352321536,135168000,136359936,274726912,91160576,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,639480892,639480892,158,352321536,135630848,136437760,274726912,91611136,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,638825532,639480892,158,352321536,135299072,138280960,274726912,91336704,94244864,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,639476796,639480892,158,352321536,135864320,138280960,274726912,91860992,94244864,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,641242172,641242172,158,352321536,137715712,138358784,274726912,93696000,94334976,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,641836092,641836092,158,352321536,138276864,139014144,274726912,94232576,94957568,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,641999932,642049084,158,352321536,138674176,139317248,274726912,94572544,95215616,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,642282556,642282556,158,352321536,138969088,139624448,274726912,94855168,95510528,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,642823228,642823228,158,352321536,139546624,140197888,274726912,95383552,96030720,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,643007548,643007548,158,352321536,139743232,140410880,274726912,95571968,96235520,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,644592700,644592700,158,352321536,139939840,142671872,274726912,96362496,98521088,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,644871228,644883516,158,352321536,140402688,142671872,274726912,96796672,98521088,0,0,0,0,0,0,0,0,0,0,0,0
